#,Reference,Qty,Value,Comment,購入URL,Footprint,DNP
1,"C1, C2, C3, C4, C5, C6, C7, C8, C9",9,C,,,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,
2,C10,1,10uF,,,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,
3,C11,1,CP,,,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,
4,"D1-rom0ena1, D2-int1, D2-LED2, D2-LED3, D11-hlda1, D13-inta1, LED-halt1",7,LED,,,LED_THT:LED_D1.8mm_W3.3mm_H2.4mm,
5,J1,1,"HEADER_3x2,PH-2x3SG",USART ボーレート・ジェネレータ入力周波数 選択,https://akizukidenshi.com/catalog/g/g116883/,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,
6,J2,1,HEADER_13x2,IO拡張コネクタ。適当に好きなもの,,Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical,
7,J2-scc0,1,"HEADER_6,PH-1X6RG(2)",SIOコネクタ。FTDI USBシリアル・ケーブルが適合,https://akizukidenshi.com/catalog/g/g105336/,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,
8,J3,1,HEADER_2,+5V電源入力。適当に好きなもの,,Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
9,"J4, J5, J6, J7, J-HOLD1, J-TEST1, J-VCC1, J-VCC2",8,-,test pointなので、何も実装しない,,,
10,J4-scc0,1,-,test pointなので、何も実装しない,,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,
11,JP1,1,"HEADER_1x3,PH-1X3SG",free running timerのレート選択,https://akizukidenshi.com/catalog/g/g103949/,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
12,"R1, R2, R5, R12",4,"R,10K",,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
13,"R3, R4",2,"R,4.7K",,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
14,"R6, R7, R8, R9, R10, R11, R13",7,"R,330",,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
15,RN1,1,R_Network08,,,Resistor_THT:R_Array_SIP9,
16,SW1,1,TVBP06-B043CU-B,Reset,https://akizukidenshi.com/catalog/g/g108214/,Button_Switch_THT:SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,
17,SW2,1,TVBP06-B043CU-B,NMI_SW,https://akizukidenshi.com/catalog/g/g108214/,Button_Switch_THT:SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,
18,U1,1,74LS14,,,Package_DIP:DIP-14_W7.62mm,
19,"U2, U6",2,74LS373,,,Package_DIP:DIP-20_W7.62mm,
20,U3,1,8088,,https://wakamatsu.biz/products/detail/455907,Package_DIP:DIP-40_W15.24mm_Socket,
21,"U4, U7",2,AS6C4008,Aliexpressで買っても、およそ大丈夫,,Package_DIP:DIP-32_W15.24mm,
22,U5,1,74LS174,74HC174でも可,,Package_DIP:DIP-16_W7.62mm,
23,U8,1,8251A,,,Package_DIP:DIP-28_W15.24mm,
24,"U9, U10",2,4040,,,Package_DIP:DIP-16_W7.62mm,
25,U11,1,27C512,,,Package_DIP:DIP-28_W15.24mm,
26,"U12, U14",2,74HC00,,,,
27,U13,1,74LS138,,,Package_DIP:DIP-16_W7.62mm,
28,U15,1,8284,,https://wakamatsu.biz/products/detail/456508,Package_DIP:DIP-18_W7.62mm,
29,U18,1,74LS367,,,Package_DIP:DIP-16_W7.62mm,
30,U20,1,74LS139,一部入力ピンがopenなので、必ずLS。または、「役立たない配線」をするなら、LSでも可,,Package_DIP:DIP-16_W7.62mm,
31,U23,1,74HC74,,,Package_DIP:DIP-14_W7.62mm,
32,U26,1,74LS05,HCでも可。LSであっても、空き入力ピンは、必ずLoにすること。,,Package_DIP:DIP-14_W7.62mm,
33,Y1,1,"Crystal,14.7456MHz",,,Crystal:Crystal_HC49-4H_Vertical,
34,U24,1,74LS00,一部入力ピンがopenなので、必ずLS,,,
35, J6-SW1,1,,適当なスイッチを無理やり取付ける,,,
